MRT,latitude,longitude
Buangkok MRT Station,1.38287002,103.8931226
Sengkang MRT Station,1.391694626,103.8954847
Punggol MRT Station,1.414927334,103.9101664
Bras Basah MRT Station,1.296752622,103.8509188
Esplanade MRT Station,1.293657725,103.8550812
Promenade MRT Station,1.293997986,103.86035
Nicoll Highway MRT Station,1.299766847,103.863637
Stadium MRT Station,1.302812468,103.8753377
Mountbatten MRT Station,1.306201905,103.8825281
Dakota MRT Station,1.308547984,103.8890647
MacPherson MRT Station,1.326150245,103.8892986
Tai Seng MRT Station,1.335145642,103.8883361
Bartley MRT Station,1.342501178,103.8801779
Lorong Chuan MRT Station,1.351531286,103.8648122
Marymount MRT Station,1.348707263,103.8394231
Caldecott MRT Station,1.337245613,103.8401618
Botanic Gardens MRT Station,1.322113736,103.8149845
Farrer Road MRT Station,1.317439152,103.8073792
Holland Village MRT Station,1.312264226,103.7964704
one-north MRT Station,1.299735994,103.7874721
Kent Ridge MRT Station,1.293536986,103.7845724
Haw Par Villa MRT Station,1.28260725,103.7817955
Pasir Panjang MRT Station,1.276213522,103.7913503
Labrador Park MRT Station,1.272254177,103.8026316
Telok Blangah MRT Station,1.270706477,103.8097616
Bayfront MRT Station,1.281873789,103.8590798
Bukit Panjang MRT Station,1.379002116,103.7615351
Cashew MRT Station,1.369815449,103.7644392
Hillview MRT Station,1.362344868,103.7674183
Beauty World MRT Station,1.341223176,103.7757943
King Albert Park MRT Station,1.335893496,103.7832359
Sixth Avenue MRT Station,1.330960581,103.7969693
Tan Kah Kee MRT Station,1.326392241,103.8065482
Stevens MRT Station,1.320065558,103.8260244
Rochor MRT Station,1.303852185,103.8527694
Downtown MRT Station,1.279446382,103.8528408
Telok Ayer MRT Station,1.282068948,103.8486488
Fort Canning MRT Station,1.292481948,103.8443314
Bencoolen MRT Station,1.298918434,103.8503538
Jalan Besar MRT Station,1.305171388,103.8552957
Bendemeer MRT Station,1.313672528,103.8629776
Geylang Bahru MRT Station,1.321301102,103.8716226
Mattar MRT Station,1.326876715,103.8832475
Ubi MRT Station,1.32997426,103.8992267
Kaki Bukit MRT Station,1.33496736,103.9084593
Bedok North MRT Station,1.334742117,103.9179783
Bedok Reservoir MRT Station,1.33660783,103.9322346
Tampines West MRT Station,1.345633658,103.9384925
Tampines East MRT Station,1.356191483,103.9546345
Upper Changi MRT Station,1.341739774,103.9614728
Woodlands North MRT Station,1.447782173,103.7851355
Woodlands South MRT Station,1.427488114,103.7927299
